"","x"
"1089","PF02504.19"
"1090","PF02507.19"
"1091","PF02511.19"
"1092","PF02514.20"
"1093","PF02515.21"
"1094","PF02517.20"
"1095","PF02518.30"
"1096","PF02525.21"
"1097","PF02527.19"
"1098","PF02531.20"
"1099","PF02532.18"
"1100","PF02534.18"
"1101","PF02535.26"
"1102","PF02537.19"
"1103","PF02538.18"
"1104","PF02540.21"
"1105","PF02541.20"
"1106","PF02542.20"
"1107","PF02543.19"
"1108","PF02544.20"
"1109","PF02545.18"
"1110","PF02547.19"
"1111","PF02548.19"
"1112","PF02550.19"
"1113","PF02551.19"
"1114","PF02554.18"
"1115","PF02556.18"
"1116","PF02557.21"
"1117","PF02558.20"
"1118","PF02559.20"
"1119","PF02560.18"
"1120","PF02561.18"
"1121","PF02562.20"
"1122","PF02563.20"
"1123","PF02565.19"
"1124","PF02566.23"
"1125","PF02567.20"
"1126","PF02568.18"
"1127","PF02569.19"
"1128","PF02570.19"
"1129","PF02571.18"
"1130","PF02572.19"
"1131","PF02574.20"
"1132","PF02575.20"
"1133","PF02576.21"
"1134","PF02577.18"
"1135","PF02578.19"
"1136","PF02580.20"
"1137","PF02581.21"
"1138","PF02583.21"
"1139","PF02585.21"
"1140","PF02586.18"
"1141","PF02588.19"
"1142","PF02589.19"
"1143","PF02590.21"
"1144","PF02591.19"
"1145","PF02592.19"
"1146","PF02594.20"
"1147","PF02596.19"
"1148","PF02597.24"
"1149","PF02599.20"
"1150","PF02600.20"
"1151","PF02601.19"
"1152","PF02602.19"
"1153","PF02603.20"
"1154","PF02604.23"
"1155","PF02605.19"
"1156","PF02606.18"
"1157","PF02607.21"
"1158","PF02608.18"
"1159","PF02609.20"
"1160","PF02613.19"
"1161","PF02614.18"
"1162","PF02615.18"
"1163","PF02616.18"
"1164","PF02617.21"
"1165","PF02618.20"
"1166","PF02620.21"
"1167","PF02621.18"
"1168","PF02622.19"
"1169","PF02623.19"
"1170","PF02624.20"
"1171","PF02625.20"
"1172","PF02626.19"
"1173","PF02627.24"
"1174","PF02628.19"
"1175","PF02629.23"
"1176","PF02630.18"
"1177","PF02631.20"
"1178","PF02632.18"
"1179","PF02633.18"
"1180","PF02634.19"
"1181","PF02635.19"
"1182","PF02636.21"
"1183","PF02637.22"
"1184","PF02638.19"
"1185","PF02639.18"
"1186","PF02643.19"
"1187","PF02645.20"
"1188","PF02646.20"
"1189","PF02649.18"
"1190","PF02650.18"
"1191","PF02652.18"
"1192","PF02653.20"
"1193","PF02654.19"
"1194","PF02655.18"
"1195","PF02656.19"
"1196","PF02657.19"
"1197","PF02660.19"
"1198","PF02661.22"
"1199","PF02666.19"
"1200","PF02668.20"
"1201","PF02669.19"
"1202","PF02670.20"
"1203","PF02672.19"
"1204","PF02673.22"
"1205","PF02674.20"
"1206","PF02675.19"
"1207","PF02678.20"
"1208","PF02682.20"
"1209","PF02683.19"
"1210","PF02684.19"
"1211","PF02685.20"
"1212","PF02686.19"
"1213","PF02687.25"
"1214","PF02689.18"
"1215","PF02696.18"
"1216","PF02698.21"
"1217","PF02699.19"
"1218","PF02700.18"
"1219","PF02705.20"
"1220","PF02706.19"
"1221","PF02709.18"
"1222","PF02719.19"
"1223","PF02729.25"
"1224","PF02730.19"
"1225","PF02733.21"
"1226","PF02734.21"
"1227","PF02737.22"
"1228","PF02738.22"
"1229","PF02739.20"
"1230","PF02741.19"
"1231","PF02742.19"
"1232","PF02743.22"
"1233","PF02744.21"
"1234","PF02746.20"
"1235","PF02749.20"
"1236","PF02754.20"
"1237","PF02767.20"
"1238","PF02768.19"
"1239","PF02769.26"
"1240","PF02770.23"
"1241","PF02771.20"
"1242","PF02772.20"
"1243","PF02773.20"
"1244","PF02774.22"
"1245","PF02775.25"
"1246","PF02776.22"
"1247","PF02777.22"
